system,sigma,variant,cfg,rmse_rms,rmse_med,rmse_p95,anees,fire,metrics,covariance_policy,runs,cov_bad_runs,cov_bad_frac,secs,labels,gain,recal,metric
batt,1e-06,EKF,F0,1.4915824370724335,0.006155436599315079,0.6429560510096262,2.1441958482024986e+39,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,179.3296818,v4,conventional,none,none
batt,1e-06,EKF,F1,0.0019324165025931647,9.394492785435396e-05,0.0025088928301472135,19405.499738941933,0.17632833333333334,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,240.0991884,v4,single,single,I
batt,1e-06,EKF,F2,0.005700244288902531,1.9168602172859452e-05,0.00011430678836339479,4.014518175072292,0.147825,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,379.2925766,v4,single,set,Pinv
batt,1e-06,EKF,F3,0.020541340786080452,1.836760326301205e-05,0.00014575333898144774,5911.723531795694,0.016536666666666668,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,425.40774469999997,v4,mean,single,Pinv
batt,1e-06,EKF,F4,2.647177995193553e-05,1.4558895740207337e-05,5.208702495889288e-05,1.8018174833351965,0.0022383333333333335,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,539.2847241,v4,mean,set,Pinv
batt,1e-06,EKF,IPLF2,1.4110242945927527,0.0004830295126100848,0.011245235612101341,3.217486096380485e+27,3.60616,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,578.9390831000001,v4,iplf,none,none
batt,1e-06,EKF2,F0,0.09023865484935407,1.7624368085405793e-05,0.0017026782119443948,55658118.41874113,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,314.1564357,v4,conventional,none,none
batt,1e-06,EKF2,F1,0.0012321657125654024,1.4444632070085174e-05,5.3006804074291735e-05,206.7627128180922,0.051815,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,446.30848000000003,v4,single,single,I
batt,1e-06,EKF2,F2,0.043513343845134056,1.9892544898806752e-05,7.199370613657037e-05,1.5376957104721363,0.14025500000000002,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,754.1703126,v4,single,set,Pinv
batt,1e-06,EKF2,F3,2.9512060975366325e-05,1.4804609586872202e-05,5.978530699397795e-05,2.5886314252396807,0.003043333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,851.3942571000001,v4,mean,single,Pinv
batt,1e-06,EKF2,F4,2.3027677592958415e-05,1.5086463279471891e-05,4.086665469630496e-05,1.1850207492373903,0.00143,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,1170.4533872,v4,mean,set,Pinv
batt,1e-06,EKF2,IPLF2,0.017899992891049064,1.377272370730353e-05,0.00048488849653557036,3311549.464444989,3.6735316666666664,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,946.9891352999999,v4,iplf,none,none
batt,1e-06,UKF,F0,0.1001276173747713,2.245618274350563e-05,0.004985191246248908,70857947.75529194,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,298.30042469999995,v4,conventional,none,none
batt,1e-06,UKF,F1,0.0021049631350948056,1.5033400896563183e-05,6.968007070681315e-05,520.2089159895141,0.06748166666666668,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,420.9136563,v4,single,single,I
batt,1e-06,UKF,F2,0.0416082353278575,2.0269586697960524e-05,7.3342223023903e-05,1.2640169341000251,0.15095,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,757.9011869,v4,single,set,Pinv
batt,1e-06,UKF,F3,3.091981325724871e-05,1.5208841554992982e-05,6.506054352584239e-05,3.570960614616442,0.00436,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,844.5209235,v4,mean,single,Pinv
batt,1e-06,UKF,F4,2.3121089626136852e-05,1.505356376095892e-05,4.105329744560801e-05,1.2183655311772905,0.0014916666666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,1149.7092644000002,v4,mean,set,Pinv
batt,1e-06,UKF,IPLF2,0.0186472847898412,1.6229329888540025e-05,0.0008889576791658576,2798201.61630973,3.919373333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,907.7627519000001,v4,iplf,none,none
batt,1e-06,CKF,F0,0.1258143103451225,2.507215231116179e-05,0.030995603471914202,104267561.50659789,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,272.5722887,v4,conventional,none,none
batt,1e-06,CKF,F1,0.0030128109597847923,1.5937032423553134e-05,0.00017578431262038404,21843.504197304537,0.06226833333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,401.01021849999995,v4,single,single,I
batt,1e-06,CKF,F2,0.04345359800525233,1.696680199522676e-05,4.5063526470951455e-05,1.0408018600431412,0.049745000000000004,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,699.3097210999999,v4,single,set,Pinv
batt,1e-06,CKF,F3,9.023339221735282e-05,1.5193252072315007e-05,6.409725621108115e-05,11.4965965345813,0.006706666666666666,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,785.1329991,v4,mean,single,Pinv
batt,1e-06,CKF,F4,2.3017454642659176e-05,1.499734224807378e-05,4.1344023341914545e-05,1.280672705610686,0.00155,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,1071.0324044,v4,mean,set,Pinv
