system,sigma,variant,cfg,rmse_rms,rmse_med,rmse_p95,anees,fire,metrics,covariance_policy,runs,cov_bad_runs,cov_bad_frac,secs,labels,gain,recal,metric
trn,1.0,EKF,F0,0.9610829225604475,0.007237057526781146,0.052611729521836806,4144.326868399125,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,145.0878085000004,v4,conventional,none,none
trn,1.0,EKF,F1,0.751229557171654,0.0030523533885206304,0.026768902297036268,9838.236281991483,0.06566166666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,162.86210409999967,v4,single,single,I
trn,1.0,EKF,F2,0.5090320714822144,0.0024361650880995052,1.6494184051515326,527.9754154171732,0.12894666666666668,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,241.23886989999937,v4,single,set,Pinv
trn,1.0,EKF,F3,0.21592383332325205,0.0024293821394509607,0.018445328699475398,1101.3548356380145,0.009815,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,217.80879370000002,v4,mean,single,Pinv
trn,1.0,EKF,F4,0.11423616058002414,0.002309081142609159,0.00457075332419924,120.49789041421687,0.005003333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,293.2765707999997,v4,mean,set,Pinv
trn,1.0,EKF,IPLF2,0.21460964026085938,0.0034481741798091992,0.025983470550656747,1335.9029145319857,2.7963866666666664,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,401.26179779999984,v4,iplf,none,none
trn,1.0,EKF2,F0,0.20199819970896857,0.00249881320215423,0.021290933160666783,1465.266404011997,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,194.63192600000002,v4,conventional,none,none
trn,1.0,EKF2,F1,0.22758304763967505,0.002425806756006302,0.014235137537430168,1845.5169964316249,0.016443333333333334,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,294.0324246,v4,single,single,I
trn,1.0,EKF2,F2,0.046369988230955735,0.0025217620567905136,0.04729026565849848,5.673694547570274,0.0679,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,437.1283100999999,v4,single,set,Pinv
trn,1.0,EKF2,F3,0.10083384616268457,0.0023687355277464423,0.005175089290949056,532.9001444469881,0.026286666666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,520.0482142999999,v4,mean,single,Pinv
trn,1.0,EKF2,F4,0.01674789034246178,0.0023157301423611253,0.004557160033466868,5.472848640448396,4.9999999999999996e-05,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,670.5853435999998,v4,mean,set,Pinv
trn,1.0,EKF2,IPLF2,0.19829609300059914,0.0024337394376827155,0.013517117220053798,687.0244332350844,3.21752,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,621.0685579999999,v4,iplf,none,none
trn,1.0,UKF,F0,0.2277655679696633,0.0025127155077916074,0.02370962063194562,1346.9525552494,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,199.3928103999997,v4,conventional,none,none
trn,1.0,UKF,F1,0.2233410950541648,0.002407671833987964,0.014360001140194645,1848.7541535702046,0.014201666666666668,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,268.0255520999999,v4,single,single,I
trn,1.0,UKF,F2,0.05050890604220585,0.002609840156612229,0.06261120333219632,5.684521375347633,0.082225,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,411.29296069999964,v4,single,set,Pinv
trn,1.0,UKF,F3,0.09783507992038959,0.0023805672463590747,0.005224016887144503,552.8581960084074,0.026591666666666663,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,441.3305313000001,v4,mean,single,Pinv
trn,1.0,UKF,F4,0.016735584850339165,0.002316848471394667,0.004560560297795161,5.448461553231044,5.166666666666666e-05,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,538.3865942999992,v4,mean,set,Pinv
trn,1.0,UKF,IPLF2,0.17645989703951345,0.002414374079030299,0.012355186219028749,594.3719411591309,3.1532183333333332,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,546.0391202000001,v4,iplf,none,none
trn,1.0,CKF,F0,0.3936155005347952,0.0027387694528211654,0.02037288370102977,1341.2663195576397,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,205.4944986999999,v4,conventional,none,none
trn,1.0,CKF,F1,0.29027756852079367,0.0024647735626189115,0.009068187468629163,2843.527220633279,0.05290333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,266.0832913000004,v4,single,single,I
trn,1.0,CKF,F2,0.27347190748617123,0.0024758582821348177,0.03008393051254815,97.01648197908071,0.12322666666666669,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,376.89474100000007,v4,single,set,Pinv
trn,1.0,CKF,F3,0.11724507870015813,0.0023336189883081766,0.0047795119624854734,1017.4096426500429,0.009311666666666668,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,442.9640578999997,v4,mean,single,Pinv
trn,1.0,CKF,F4,0.046883277867854345,0.0023086059349179465,0.004539476029157029,23.232649520869774,0.0012733333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,543.4215982000005,v4,mean,set,Pinv
trn,1.0,CKF,IPLF2,0.2171014438400267,0.003801991301196666,0.033446101715151784,1089.5051928379685,3.2001,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,541.0277801000002,v4,iplf,none,none
trn,2.371373705661655,EKF,F0,0.45042679771175376,0.009787406056681446,0.05841885356594755,443.3273206166922,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,142.41954299999998,v4,conventional,none,none
trn,2.371373705661655,EKF,F1,0.5696521789691646,0.0060247143275642505,0.04763788310915951,1766.710564222186,0.05976500000000001,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,185.1103836000002,v4,single,single,I
trn,2.371373705661655,EKF,F2,0.48455026710635957,0.004688775110351372,1.5430506136956672,75.30609890970855,0.13269166666666665,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,237.15345459999935,v4,single,set,Pinv
trn,2.371373705661655,EKF,F3,0.16414460230097871,0.004643352730280281,0.02317661946596373,298.7330969358955,0.009430000000000001,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,226.2034520999996,v4,mean,single,Pinv
trn,2.371373705661655,EKF,F4,0.11314472795838036,0.004405148654150657,0.009018594261160421,9.75846155275024,0.004131666666666666,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,304.54595210000025,v4,mean,set,Pinv
trn,2.371373705661655,EKF,IPLF2,0.15718315609422343,0.006215498561216379,0.04003449099568432,135.26346721673738,2.8157916666666662,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,388.36700910000036,v4,iplf,none,none
trn,2.371373705661655,EKF2,F0,0.20570918860389206,0.004845374419316042,0.034352128715917904,151.5820851035406,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,204.89732719999938,v4,conventional,none,none
trn,2.371373705661655,EKF2,F1,0.26208742571720267,0.004720399496155821,0.02771705940568165,446.37537373790053,0.01712166666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,285.63942849999967,v4,single,single,I
trn,2.371373705661655,EKF2,F2,0.04482907861689656,0.004881372804930294,0.05915154600346491,1.5583899677087858,0.06833333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,440.6924842999997,v4,single,set,Pinv
trn,2.371373705661655,EKF2,F3,0.1113029603639656,0.0046364968013774795,0.010362688578683525,177.76888349903194,0.026709999999999998,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,517.2010079000001,v4,mean,single,Pinv
