system,idx,variant,labels,metrics,covariance_policy,n_paired,secs,sigma_meas,prior_scale,proc_scale,soh0,amp,soc0,order_rule,pts_F4,pts_ORDER,spec_ORDER,rmse_rms_F0,rmse_med_F0,rmse_p95_F0,anees_F0,fire_F0,ncovfail_F0,spec_F0,rmse_rms_F1,rmse_med_F1,rmse_p95_F1,anees_F1,fire_F1,ncovfail_F1,spec_F1,rmse_rms_F2,rmse_med_F2,rmse_p95_F2,anees_F2,fire_F2,ncovfail_F2,spec_F2,rmse_rms_F3,rmse_med_F3,rmse_p95_F3,anees_F3,fire_F3,ncovfail_F3,spec_F3,rmse_rms_F4,rmse_med_F4,rmse_p95_F4,anees_F4,fire_F4,ncovfail_F4,spec_F4,rmse_rms_IPLF2,rmse_med_IPLF2,rmse_p95_IPLF2,anees_IPLF2,fire_IPLF2,ncovfail_IPLF2,spec_IPLF2,rmse_rms_ORDER,rmse_med_ORDER,rmse_p95_ORDER,anees_ORDER,fire_ORDER,ncovfail_ORDER,hurst,A0,map_seed
batt,0,EKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,262.6977444999993,7.642359915814378e-05,2.4793892632154297,3.2137826000484733,0.8708930479235528,2.1404633064840946,0.6619540949385178,EKF2,9,2,single|single|Pinv,0.47201507677436894,0.0009435746476630269,1.0919745714259184,1.2227938459560588e+27,0.0,0,conventional|none|none,0.005893428509910542,0.0003526525978881813,0.0030520879176825157,9.293434947337996,0.17861666666666667,0,single|single|I,0.00831881936957312,0.00027018021547790084,0.006303440747578099,0.9873644804309483,0.11020000000000002,0,single|set|Pinv,0.0004367670568575141,0.0002612704672938809,0.0008644752151434445,2.655615631230576,0.0005833333333333335,0,mean|single|Pinv,0.0003216430252029045,0.00023476069516256551,0.0005814298567628023,0.9448020505017876,0.0012166666666666667,0,mean|set|Pinv,0.0378919685012446,0.0003153241651582382,0.0011308761368499878,1366.2783613157644,2.959833333333333,0,iplf|none|none,0.001790290801501172,0.00023937021314822987,0.0007355657553626735,1.3956014280165527,0.020466666666666668,0,,,
batt,0,EKF2,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,458.81534550000106,7.642359915814378e-05,2.4793892632154297,3.2137826000484733,0.8708930479235528,2.1404633064840946,0.6619540949385178,EKF3,9,2,single|single|Pinv,0.037201051608036426,0.0002329951293924109,0.0006755523652498192,89150.23396932686,0.0,0,conventional|none|none,0.0013886271047808133,0.0002346311901927222,0.000681649125349238,1.3380538530460926,0.06308333333333334,0,single|single|I,0.002307354735505188,0.0002575341506103707,0.000707949968002679,0.8417178282464375,0.03683333333333334,0,single|set|Pinv,0.00034166604711431426,0.00023475325733379943,0.0006170490140819003,1.1828333418642543,0.00013333333333333334,0,mean|single|Pinv,0.0003281483899035521,0.00024594288196384535,0.0006065640168492958,0.8341417612105573,0.0006666666666666668,0,mean|set|Pinv,0.013134719171387699,0.0002498094867952368,0.0008661646338165342,1130.925726643793,2.9025666666666665,0,iplf|none|none,0.00031455018772953307,0.00022738505616583103,0.0005891547607222491,0.975395269200173,0.002966666666666667,0,,,
batt,0,UKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,474.41414970000005,7.642359915814378e-05,2.4793892632154297,3.2137826000484733,0.8708930479235528,2.1404633064840946,0.6619540949385178,GH,63,54,single|single|Pinv,0.04649981077462344,0.00023968289662779958,0.0007752189698572087,4962418.951332273,0.0,0,conventional|none|none,0.0013563922188128464,0.00024031869837494023,0.0007525474627214501,1.7553239997015033,0.07086666666666668,0,single|single|I,0.0023077946672464314,0.00025704785650477666,0.0007093307365277957,0.8443381597197328,0.03768333333333334,0,single|set|Pinv,0.0003767313657723514,0.000237600092275352,0.0006748416994066946,1.6724139045361914,0.00025,0,mean|single|Pinv,0.00032764002025544074,0.0002456100193585132,0.0006065331954567172,0.8361316797919364,0.0006833333333333333,0,mean|set|Pinv,0.0004913321474035765,0.000261547188686754,0.0009334124390626051,3.7406042216930193,2.964,0,iplf|none|none,0.00031535775899116413,0.00023086704455338523,0.000585369108818848,0.9787595095852798,0.002983333333333334,0,,,
batt,0,CKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,426.22579419999965,7.642359915814378e-05,2.4793892632154297,3.2137826000484733,0.8708930479235528,2.1404633064840946,0.6619540949385178,CKF-5,54,38,single|single|Pinv,0.008982979862218061,0.00024256797798333498,0.000697808588489296,54462.78102022966,0.0,0,conventional|none|none,0.00031912506346919265,0.0002276346145818958,0.0006018113150466117,1.056796622267864,0.050016666666666675,0,single|single|I,0.0009563924458019874,0.0002737510733975305,0.0007981577716529624,0.8862148133956392,0.06698333333333334,0,single|set|Pinv,0.00032769834999390676,0.00023761903743316898,0.0006213642216343764,0.9990701233176772,6.666666666666667e-05,0,mean|single|Pinv,0.0003420436826002465,0.00024762252262691226,0.0006135732824351592,0.8637821758613389,0.009166666666666668,0,mean|set|Pinv,0.014446971572778947,0.00025054084783830287,0.0009033185299298222,1464.5842217402671,2.9466833333333335,0,iplf|none|none,0.00031433661104979444,0.000231435096547167,0.000584011702890014,0.9747714871434803,0.0028333333333333335,0,,,
batt,1,EKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,252.76931109999896,0.00012635197795249218,0.6661268874554912,0.29930998165483697,0.9104207117880515,1.9666735910610842,0.5255843320149524,EKF2,9,2,single|single|Pinv,0.003111916489048223,0.0005616741675796308,0.007706217436473978,468.93568971604753,0.0,0,conventional|none|none,0.0029217024823890597,0.0002519307864053549,0.0004966986197782701,3.6119116079553084,0.09988333333333334,0,single|single|I,0.001836064712192077,0.0002366203188626449,0.0004914621522839906,1.7661321798957847,0.024166666666666673,0,single|set|Pinv,0.00028214714111396606,0.00023631351975184333,0.0004713526856075413,2.4692476612416083,0.003300000000000001,0,mean|single|Pinv,0.000276910936727024,0.0002327751009360591,0.00046554431503548004,1.7384125942453652,0.0036500000000000005,0,mean|set|Pinv,0.016468947690299354,0.00024922854111152787,0.000565292850041418,1446.1962528482018,2.846916666666667,0,iplf|none|none,0.004584431077541468,0.0002290331872636212,0.00046790487017397703,1.7142696378347382,0.014133333333333333,0,,,
batt,1,EKF2,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,468.69385670000156,0.00012635197795249218,0.6661268874554912,0.29930998165483697,0.9104207117880515,1.9666735910610842,0.5255843320149524,EKF3,9,2,single|single|Pinv,0.0003100306972640171,0.00022988828984811174,0.0004785613437443739,3.8666633725126256,0.0,0,conventional|none|none,0.005662800495605741,0.0002338435834445964,0.0004772118454517755,2.5015240407117063,0.09925,0,single|single|I,0.0009568468797328083,0.00022639878623052483,0.00047443950326166634,1.26391860862257,0.016466666666666668,0,single|set|Pinv,0.00027194179134832367,0.0002277974536204906,0.00046066133182144815,1.5595333191637957,0.0018500000000000003,0,mean|single|Pinv,0.00026995886016213417,0.00022536369613383392,0.0004535486624183793,1.2792140811214265,0.0024333333333333334,0,mean|set|Pinv,0.01645476073049832,0.00023622401883269917,0.0005176345960890886,1424.311151716672,2.8364499999999997,0,iplf|none|none,0.0002723385721888709,0.0002272888387492468,0.0004634857492210017,1.5754958212698675,0.007983333333333334,0,,,
batt,1,UKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,472.32928249999895,0.00012635197795249218,0.6661268874554912,0.29930998165483697,0.9104207117880515,1.9666735910610842,0.5255843320149524,GH,63,54,single|single|Pinv,0.00031037771420305355,0.00022981093090739663,0.00047866894094960124,3.8932453327007783,0.0,0,conventional|none|none,0.0018080419530958451,0.00023229816620118934,0.00047718419679525985,1.9276246450446188,0.09905000000000001,0,single|single|I,0.0007972446480376175,0.00022640739172759836,0.00047420780623013456,1.2638890065943136,0.016466666666666668,0,single|set|Pinv,0.00027197827722799434,0.00022779730414169654,0.00046078638236601746,1.5630933119628967,0.0018500000000000003,0,mean|single|Pinv,0.00026996514694426805,0.00022540307928864918,0.00045364153458534806,1.280214743418529,0.0024500000000000004,0,mean|set|Pinv,0.0164537068299282,0.00023623277028359237,0.0005178868906629033,1423.9881682291998,2.83705,0,iplf|none|none,0.00035330115764055457,0.00022717663810843515,0.0004655718313082711,1.5844592146661765,0.009433333333333334,0,,,
batt,1,CKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,414.43360480000047,0.00012635197795249218,0.6661268874554912,0.29930998165483697,0.9104207117880515,1.9666735910610842,0.5255843320149524,CKF-5,54,38,single|single|Pinv,0.00028261154975812395,0.0002273333651155142,0.00046452218865162355,2.4360992254055036,0.0,0,conventional|none|none,0.0003621345060535381,0.0002331490355205832,0.0004760171685210596,1.8872596141238058,0.09353333333333333,0,single|single|I,0.0026633800936137152,0.00022564360297459902,0.000464805038631836,1.2798645730538343,0.011550000000000001,0,single|set|Pinv,0.00027196301825525946,0.00022789495517248177,0.0004609171496550199,1.5588477902750912,0.0008500000000000001,0,mean|single|Pinv,0.00026991326844097555,0.00022528762923276427,0.0004526784935368094,1.2734903290766568,0.0014,0,mean|set|Pinv,0.01645208241546443,0.0002358067371153877,0.0005181291365994867,1423.235777306226,2.833733333333333,0,iplf|none|none,0.00027315653072751867,0.00022766920580815622,0.0004657276034560333,1.5857095414988025,0.009400000000000002,0,,,
batt,2,EKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,247.33035200000086,0.0011839036351734566,0.4792840881307068,0.7411423540292843,0.9244859543141899,2.9785429680120066,0.721554992777522,EKF2,9,2,single|single|Pinv,0.0017903860825636306,0.0013326382462553708,0.0033396542117048234,1.0212469901838692,0.0,0,conventional|none|none,0.0017907231417533247,0.0013262287303394526,0.0033220599290610495,1.0190166576488437,0.0,0,single|single|I,0.0017909117046092547,0.0013243059571183516,0.0033106795325047113,1.0187062739316501,0.0,0,single|set|Pinv,0.0017907534457670485,0.0013178926213321981,0.0033090815454017704,1.018878905134064,0.0,0,mean|single|Pinv,0.0017909846142390026,0.0013225988803836795,0.0033120051751313606,1.0190354297869901,0.0,0,mean|set|Pinv,0.0017903101789472973,0.00132255952201215,0.003324679132816123,1.0192459344671814,2.0105999999999997,0,iplf|none|none,0.001790483839448428,0.0013263601827544218,0.0033187690574673365,1.0197019919627994,0.0,0,,,
batt,2,EKF2,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,450.8214353000003,0.0011839036351734566,0.4792840881307068,0.7411423540292843,0.9244859543141899,2.9785429680120066,0.721554992777522,EKF3,9,2,single|single|Pinv,0.0017889641540716358,0.0013251027877940087,0.0033397528723817013,1.0191423315766321,0.0,0,conventional|none|none,0.0017895706025718445,0.0013226534596955134,0.0033322261103095278,1.0175175946989523,0.0,0,single|single|I,0.0017897157766532817,0.0013196582313139546,0.0033298629386481573,1.0166021708907464,0.0,0,single|set|Pinv,0.001789543996626179,0.0013195732819927214,0.003323794179155153,1.0171416739842554,0.0,0,mean|single|Pinv,0.0017896951532842937,0.0013218702247621427,0.0033206312006619464,1.0166658487546951,0.0,0,mean|set|Pinv,0.0017896449387700567,0.0013244882849174364,0.0033295891740974773,1.0183244384900745,2.0122833333333334,0,iplf|none|none,0.0017896541782860616,0.0013260085449435925,0.0033179735571201695,1.0174151123654305,0.0,0,,,
